Stock Name:Reliance Industries Ltd.,As on 30-Jun-26

Sector,No. of Funds,No. of Shares,No. of Shares,No. of Shares,No. of Shares
,,`Jun-26,`May-26,`Apr-26,`Mar-26
Energy,644,1351744321,1353376795,1302381102,1297994364


`Fund Name,`Fund Manager,`Jun-26,`Jun-26,`Jun-26,`May-26,`Apr-26,`Mar-26
,,AUM (in Rs. cr),% of AUM,No. of Shares,No. of Shares,No. of Shares,No. of Shares
SBI Nifty 50 ETF,Viral Chhadva,210089.7,7.97,129414664,128186874 ,127752190,126632993
SBI BSE Sensex ETF,Viral Chhadva,119443.7,9.62,88783084,88318540 ,87782107,87300244
UTI Nifty 50 ETF,Sharwan Kumar Goyal,70930.8,7.97,43708619,43063043 ,42711710,42235559
UTI BSE Sensex ETF,Sharwan Kumar Goyal,55168.2,9.62,41024909,40499331 ,39985610,39505684
Nippon India ETF Nifty 50 BeES,Himanshu Mange,64785.3,7.97,39901110,39269339 ,38581855,37631042
ICICI Pru Large Cap Fund(G),Sankaran Naren,79420.7,5.61,34445500,31220500 ,29720500,35220500
HDFC Balanced Advantage Fund(G),Gopal Agrawal,106456.2,3.82,31400311,30100311 ,30100311,29500311
ICICI Pru Nifty 50 ETF,Nishit Patel,42099.5,7.97,25932429,25509632 ,24927640,24334927
SBI Large Cap Fund-Reg(G),Saurabh Pant,55064.0,5.76,24500000,24500000 ,24500000,24500000
ICICI Pru Value Fund(G),Sankaran Naren,60198.3,5.16,24007674,21496674 ,21257283,26657283
ICICI Pru BSE Sensex ETF,Nishit Patel,30689.9,9.62,22812584,22154030 ,21539654,20955836
ICICI Pru Multi-Asset Fund(G),Sankaran Naren,84990.6,3.30,21647703,12011792 ,12011792,12484292
Nippon India ETF BSE Sensex,Himanshu Mange,26997.4,9.62,20065745,19514957 ,18985444,18483777
ICICI Pru Equity & Debt Fund(G),Sankaran Naren,51480.5,4.70,18689980,17839980 ,17839980,17861065
SBI Contra Fund-Reg(G),Dinesh Balachandran,47361.7,4.84,17717567,17717567 ,17717567,17717567
UTI Nifty 50 Index Fund-Reg(G),Sharwan Kumar Goyal,28685.1,7.97,17675044,17375889 ,17104151,16105301
Nippon India Large Cap Fund(G),Sailesh Raj Bhan,53227.0,4.24,17441139,16441139 ,15537539,19037539
HDFC Flexi Cap Fund(G),Amit Ganatra,106495.6,1.97,16227964,15494753 ,15368864,12754533
ICICI Pru Balanced Advantage Fund(G),Rajat Chandak,72486.3,2.88,16138623,16113856 ,16113856,15721356
Mirae Asset Large Cap Fund-Reg(G),Gaurav Misra,38379.3,5.19,15405035,15405035 ,15405035,15135073
Kotak Arbitrage Fund(G),Hiten Shah,72409.4,2.70,15131000,18201500 ,6956000,7804000
SBI Equity Hybrid Fund-Reg(G),R. Srinivasan,85633.5,2.27,15000000,15000000 ,13000000,13000000
HDFC Large Cap Fund(G),Rahul Baijal,39023.7,4.96,14950234,14950234 ,14950234,14250234
SBI Balanced Advantage Fund-Reg(G),Dinesh Balachandran,41512.9,4.56,14629042,15325542 ,15325542,15325542
HDFC Nifty 50 Index Fund(G),Arun Agarwal,23703.0,7.97,14605996,14462970 ,14341849,13487033
SBI Arbitrage Opportunities Fund-Reg(G),Neeraj Kumar,45923.1,3.35,11877500,8193000 ,5612000,4965000
Aditya Birla SL Large Cap Fund-Reg(G),Harish krishnan,29029.3,5.08,11395468,11395468 ,11395468,11011968
Mirae Asset Large & Midcap Fund-Reg(G),Neelesh Surana,44048.0,3.24,11028161,9052551 ,8375843,7006203
ICICI Pru India Opp Fund(G),Sankaran Naren,37256.8,3.68,10610410,9860410 ,9160410,10410410
ICICI Pru Nifty 50 Index Fund-Reg(G),Nishit Patel,16839.3,7.97,10371971,10264157 ,10156235,9302260
ICICI Pru Arbitrage Fund(G),Archana Nair,33423.3,3.98,10287000,8541500 ,5753500,2894500
Kotak Flexicap Fund(G),Harsha Upadhyaya,55850.3,2.32,10000000,10000000 ,10000000,10000000
Mirae Asset ELSS Tax Saver Fund-Reg(G),Neelesh Surana,26049.1,4.67,9410648,7805648 ,7405648,6774299
Axis Large Cap Fund-Reg(G),Shreyash Devalkar,30912.6,3.77,9010033,10844278 ,10844278,10844278
SBI Nifty Index Fund-Reg(G),Viral Chhadva,13646.1,7.97,8404201,8293515 ,8207294,7407111
Invesco India Arbitrage Fund-Reg(G),Deepak Gupta,28526.5,3.76,8279000,0 ,0,0
HDFC Arbitrage Fund-Reg(G),Arun Agarwal,23772.0,4.26,7835000,8355000 ,7833000,5730000
Nippon India Multi Cap Fund(G),Sailesh Raj Bhan,54584.6,1.79,7568975,7568975 ,7568975,7568975
HDFC Hybrid Equity Fund(G),Anupam Joshi,22367.9,4.28,7400000,7400000 ,7400000,7200000
SBI ELSS Tax Saver Fund-Reg(G),Milind Agrawal,31839.3,2.96,7275148,11275148 ,11275148,11275148
ICICI Pru Equity Savings Fund-Reg(G),Dharmesh Kakkad,16499.9,5.41,6902929,6902929 ,6902929,6628930
ICICI Pru Business Cycle Fund(G),Manish Banthia,16137.5,5.34,6657661,6534630 ,6377304,6162304
Aditya Birla SL Arbitrage Fund(G),Lovelish Solanki,26645.6,3.21,6601500,7517500 ,7327500,7189000
Axis ELSS Tax Saver Fund-Reg(G),Shreyash Devalkar,31869.3,2.62,6447294,7919840 ,7919840,7220799
Canara Rob Large Cap Fund-Reg(G),Shridatta Bhandwaldar,16692.3,4.96,6401500,6401500 ,6401500,6401500
SBI Large & Midcap Fund-Reg(G),Saurabh Pant,40849.9,2.03,6400000,7600000 ,7600000,7600000
HDFC BSE Sensex Index Fund(G),Arun Agarwal,8484.7,9.62,6307143,6343464 ,6328163,6276321
Nippon India Arbitrage Fund(G),Vikash Agarwal,16638.2,4.83,6212500,5666000 ,2914500,3010500
